sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,cost
124,3.85E-07,9.00E-08,6.69E+20,3.86E-07,1.27E-06,6.90E-04,8.67E-01,5.99E-01,1.63E+01,2.67E+03,7.27E+01,4.49E-01
125,4.58E-07,1.00E-07,9.65E+20,1.46E-07,1.31E-06,1.68E-04,1.02E+00,1.71E-01,8.69E+01,6.53E+03,1.71E+01,5.68E+00
126,3.80E-07,1.00E-07,7.28E+20,4.23E-07,1.26E-06,6.78E-04,8.70E-01,5.90E-01,1.64E+01,2.92E+03,6.98E+01,4.47E-01
127,3.90E-07,9.00E-08,4.37E+20,3.78E-07,1.29E-06,7.39E-04,8.64E-01,6.39E-01,1.54E+01,2.69E+03,7.20E+01,4.64E-01
128,3.75E-07,9.00E-08,3.14E+20,4.30E-07,1.31E-06,8.66E-04,8.56E-01,7.41E-01,1.29E+01,2.56E+03,8.00E+01,5.10E-01
129,4.47E-07,1.00E-07,7.81E+19,2.58E-07,1.35E-06,9.54E-04,8.53E-01,8.14E-01,1.19E+01,3.44E+03,7.07E+01,5.70E-01
130,4.51E-07,1.20E-07,4.19E+20,2.50E-07,1.35E-06,7.15E-04,,1.79E+00,6.31E+04,,2.02E-01,3.11E+02
131,4.27E-07,9.00E-08,1.20E+20,7.44E-07,1.34E-06,4.99E-04,9.04E-01,4.51E-01,2.48E+01,5.90E+03,4.18E+01,6.04E-01
132,4.05E-07,1.00E-07,1.00E+21,3.07E-07,1.26E-06,5.23E-04,8.89E-01,4.65E-01,2.23E+01,3.34E+03,5.58E+01,5.24E-01
133,3.83E-07,1.00E-07,7.42E+20,7.80E-07,1.32E-06,6.91E-04,8.77E-01,6.07E-01,1.68E+01,3.67E+03,6.97E+01,4.71E-01
134,4.60E-07,1.10E-07,6.25E+20,3.20E-07,1.28E-06,8.48E-04,,2.12E+00,8.61E+04,,2.02E-03,3.50E+02
135,3.77E-07,1.00E-07,5.74E+20,7.34E-07,1.32E-06,9.46E-04,8.55E-01,8.09E-01,1.16E+01,2.86E+03,9.27E+01,5.60E-01
136,4.99E-07,1.20E-07,1.56E+20,6.33E-07,1.26E-06,7.75E-04,,1.94E+00,1.04E+05,,1.10E+00,1.68E+02
137,3.94E-07,1.00E-07,6.62E+20,1.75E-07,1.27E-06,7.16E-04,8.64E-01,6.19E-01,1.69E+01,2.39E+03,7.15E+01,4.82E-01
138,3.87E-07,9.00E-08,5.42E+20,3.30E-07,1.26E-06,7.19E-04,8.64E-01,6.22E-01,1.56E+01,2.54E+03,7.36E+01,4.53E-01
139,3.69E-07,1.00E-07,9.66E+20,7.78E-07,1.29E-06,6.15E-04,8.85E-01,5.45E-01,1.88E+01,3.87E+03,6.51E+01,4.73E-01
140,3.82E-07,9.00E-08,7.66E+20,3.96E-07,1.26E-06,6.89E-04,8.67E-01,5.98E-01,1.62E+01,2.65E+03,7.42E+01,4.47E-01
141,4.80E-07,1.00E-07,1.00E+17,3.17E-07,1.27E-06,7.81E-04,9.79E-01,7.64E-01,1.35E+01,2.34E+03,3.74E+01,5.45E-01
142,4.07E-07,1.00E-07,4.51E+20,4.26E-07,1.31E-06,6.42E-04,8.77E-01,5.64E-01,1.83E+01,3.41E+03,6.00E+01,4.74E-01
143,3.87E-07,9.00E-08,3.31E+20,4.30E-07,1.31E-06,7.94E-04,8.61E-01,6.84E-01,1.43E+01,2.74E+03,7.41E+01,4.80E-01
144,3.72E-07,1.00E-07,2.41E+20,4.50E-07,1.31E-06,7.76E-04,8.64E-01,6.70E-01,1.46E+01,3.23E+03,6.71E+01,4.75E-01
145,3.84E-07,1.00E-07,6.93E+20,3.88E-07,1.26E-06,6.68E-04,8.71E-01,5.82E-01,1.67E+01,2.91E+03,6.83E+01,4.47E-01
146,3.91E-07,9.00E-08,4.55E+20,3.76E-07,1.29E-06,8.01E-04,8.59E-01,6.88E-01,1.39E+01,2.50E+03,7.89E+01,4.77E-01
147,4.96E-07,9.00E-08,1.00E+17,2.66E-07,1.28E-06,8.01E-04,9.80E-01,7.85E-01,1.32E+01,2.05E+03,3.65E+01,5.62E-01
148,3.77E-07,1.20E-07,9.68E+20,1.05E-07,1.32E-06,6.15E-04,,1.54E+00,7.11E+04,,3.06E-03,3.49E+02
