sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,cost
99,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.746449e+00,1.000000e+09
100,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.745662e+00,1.000000e+09
101,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749894e+00,1.000000e+09
102,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.745414e+00,1.000000e+09
103,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.748735e+00,1.000000e+09
104,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.748936e+00,1.000000e+09
105,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749145e+00,1.000000e+09
106,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.747346e+00,1.000000e+09
107,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749402e+00,1.000000e+09
108,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749222e+00,1.000000e+09
109,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.746056e+00,1.000000e+09
110,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.747538e+00,1.000000e+09
111,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.746101e+00,1.000000e+09
112,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749358e+00,1.000000e+09
113,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.746885e+00,1.000000e+09
114,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.746904e+00,1.000000e+09
115,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.747063e+00,1.000000e+09
116,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749239e+00,1.000000e+09
117,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749700e+00,1.000000e+09
118,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.746581e+00,1.000000e+09
119,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.746284e+00,1.000000e+09
120,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749003e+00,1.000000e+09
121,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.748682e+00,1.000000e+09
122,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.746644e+00,1.000000e+09
123,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.748185e+00,1.000000e+09
124,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.745752e+00,1.000000e+09
125,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.747798e+00,1.000000e+09
126,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.745958e+00,1.000000e+09
127,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.746367e+00,1.000000e+09
128,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749521e+00,1.000000e+09
129,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.748973e+00,1.000000e+09
130,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.747472e+00,1.000000e+09
131,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749216e+00,1.000000e+09
132,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.746299e+00,1.000000e+09
133,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749077e+00,1.000000e+09
134,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749130e+00,1.000000e+09
135,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.747707e+00,1.000000e+09
136,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.748510e+00,1.000000e+09
137,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.750238e+00,1.000000e+09
138,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.746095e+00,1.000000e+09
139,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.748488e+00,1.000000e+09
140,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749268e+00,1.000000e+09
141,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.748218e+00,1.000000e+09
142,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749004e+00,1.000000e+09
143,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.746420e+00,1.000000e+09
144,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749100e+00,1.000000e+09
