sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,is_valid,norm_loss,norm_vpil,cost,charge_time_s,fde_time_s,total_time_s,intrinsic_width_m,loss_min_dB_per_cm,loss_max_dB_per_cm,C_min_pF_per_cm,C_max_pF_per_cm
64,3.672428e-07,1.059725e-07,7.711783e+17,6.831551e-07,1.290606e-06,1.230554e-04,1.473758e+00,1.813539e-01,1.185451e+02,8.513438e+03,9.051503e+00,True,3.513237e+03,3.288925e-02,1.053994e+03,2.141564e+02,1.286855e+02,3.576990e+02,1.733553e-06,5.033796e-06,4.006731e+02,5.860786e-01,9.989065e+03
65,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.746322e+00,False,,,1.000000e+09,1.918928e+02,1.264765e+02,3.326343e+02,8.990286e-07,8.550580e+04,8.550797e+04,8.124824e-01,6.994689e+03
66,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.748847e+00,False,,,1.000000e+09,1.901249e+02,1.253777e+02,3.302539e+02,8.990286e-07,8.550594e+04,8.550810e+04,8.119979e-01,6.997957e+03
67,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.745524e+00,False,,,1.000000e+09,1.959755e+02,1.254948e+02,3.363991e+02,8.990286e-07,8.550580e+04,8.550795e+04,8.125991e-01,6.992559e+03
68,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.748731e+00,False,,,1.000000e+09,1.896884e+02,1.252395e+02,3.298206e+02,8.990286e-07,8.550594e+04,8.550811e+04,8.124152e-01,7.000090e+03
69,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749336e+00,False,,,1.000000e+09,1.903107e+02,1.254038e+02,3.299543e+02,8.990286e-07,8.550594e+04,8.550810e+04,8.119400e-01,7.001395e+03
70,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749544e+00,False,,,1.000000e+09,1.916555e+02,1.252838e+02,3.311612e+02,8.990286e-07,8.550594e+04,8.550811e+04,8.121988e-01,7.000238e+03
71,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.745672e+00,False,,,1.000000e+09,1.900330e+02,1.247836e+02,3.297775e+02,8.990286e-07,8.550580e+04,8.550796e+04,8.122449e-01,6.992792e+03
72,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749008e+00,False,,,1.000000e+09,1.897484e+02,1.253890e+02,3.300931e+02,8.990286e-07,8.550594e+04,8.550811e+04,8.119420e-01,6.999566e+03
73,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.750054e+00,False,,,1.000000e+09,1.897515e+02,1.251465e+02,3.298178e+02,8.990286e-07,8.550594e+04,8.550810e+04,8.126918e-01,7.001762e+03
