sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,cost
131.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.749216,1000000000.0
132.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.746299,1000000000.0
133.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.749077,1000000000.0
134.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.74913,1000000000.0
135.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.747707,1000000000.0
136.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.74851,1000000000.0
137.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.750238,1000000000.0
138.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.746095,1000000000.0
139.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.748488,1000000000.0
140.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.749268,1000000000.0
141.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.748218,1000000000.0
142.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.749004,1000000000.0
143.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.74642,1000000000.0
144.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.7491,1000000000.0
145.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.748714,1000000000.0
146.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.745432,1000000000.0
147.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.746484,1000000000.0
148.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.749639,1000000000.0
149.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.746575,1000000000.0
150.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.749643,1000000000.0
151.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.747015,1000000000.0
152.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.74976,1000000000.0
153.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.749665,1000000000.0
154.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.746656,1000000000.0
155.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.749367,1000000000.0
156.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.749277,1000000000.0
157.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.74999,1000000000.0
158.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.746749,1000000000.0
159.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.744762,1000000000.0
160.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.749596,1000000000.0
